,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,nitrogen,clay,nitrogen.y,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous,aridity,biogeo,soil
1,Symphyotrichum_adnatum,203.515,44.8788,44.8788,5312.44,324.909,64.8364,260.073,241.115,176.921,267.782,132.358,1482.42,193.873,65.7091,34.2121,521.636,242.285,499.103,306.939,31.8121,194.15,0.0869565,1446.55,487.712,12.9879,487.712,76.3091,54.4424,56.097,30.3515,2.36364,27.5301,7.48193,4.21687,29.0542,0.204819,4.34337,1.04323,100000,Luvisols
2,Symphyotrichum_amethystinum,75.6129,26.6452,26.6452,9588.4,266.548,-109.699,376.247,149.978,-36.9462,194.785,-52.1398,878.968,90.5484,53.1828,16.8495,257.301,174.731,247.441,185.29,214.075,154.988,0.569892,1343.8,228.043,17.7391,228.043,52.5326,61.6739,45.2609,35.913,4.6413,2.88172,0.172043,11.4086,9.09677,0.150538,9.29032,1.04953,100000,Chernozems
3,Symphyotrichum_bullatum,199.673,66.0909,66.0909,1561.64,284.273,112.273,172,209.418,187.382,216.218,177,1552.22,285.618,30,74.5091,736.164,102.273,442.582,135.745,1151.56,127.926,4.52727,1214.96,190.878,38.8519,190.878,32.8519,57.537,33.9815,25.3333,14.4444,4.10909,23.8545,1.25455,19.5818,0.909091,6.54545,0.988175,1000,Luvisols
4,Symphyotrichum_chapmanii,188.609,41.6957,41.6957,5668.74,312.087,45.5652,266.522,255.565,156.478,257.087,113,1461.96,193.522,78,28.5652,526.304,265.348,514.217,324.826,12,177.478,0,1437.48,417.565,6.30435,417.565,59.2174,46.8696,70.2174,19.1304,0.695652,35.4348,5.26087,0.826087,29.087,0,0.521739,1.04272,100000,Luvisols
5,Symphyotrichum_ciliatum,54.9496,29.1259,29.1259,10364.9,270.14,-155.932,426.072,157.64,-56.6187,183.888,-82.9101,552.324,75.6259,23.6583,40.9856,205.219,80.8417,193.903,87.7842,675.137,171.258,0.688406,1330.09,206.82,22.0509,206.82,55.44,67.8327,41.8327,35.8,5.61455,6.36559,0.0967742,3.22939,9.43369,4.30824,18.9857,0.661479,1,Cambisols
6,Symphyotrichum_concolor,177.262,41.3907,41.3907,6418.73,319.982,22.4695,297.513,202.545,155.065,256.419,91.7527,1333.86,162.434,69.2796,25.9319,445.19,242.032,418.505,308.244,86.2186,179.446,0.287273,1489.75,311.254,13.8821,311.254,46.8893,52.075,58.1286,27.6429,3.025,22.1286,2.82857,9.75,31.7643,0.367857,4.16071,1.00198,100000,Cambisols
7,Symphyotrichum_defoliatum,141.333,46.75,46.75,5605.69,309.972,9.25,300.722,92.7222,194.806,217.472,76.5,466.139,85.7222,2.08333,74.1667,243.167,21.25,36.4167,227.25,985.806,189.857,3.48571,1423.44,96.7931,22.9444,96.7931,23.1667,67.9167,48.8056,25.6667,11.6667,23,0,5.16667,15.0833,26.4722,3.36111,0.362274,10000,Leptosols
8,Symphyotrichum_ericoides,101.883,31.3032,31.3032,9546.03,301.218,-98.6455,399.864,186.181,-9.1141,220.887,-25.4459,746.6,99.2292,32.5666,38.0645,264.539,111.879,234.981,116.949,474.838,166.114,0.618998,1454.53,175.001,23.4022,175.001,41.178,66.2262,38.2206,38.4358,4.57727,5.07601,0.255579,4.84031,9.82671,2.50558,25.9634,0.732023,111000,Acrisols
9,Symphyotrichum_expansum,184.476,60.1289,60.1289,3356.53,306.636,59.0578,247.578,208.991,173.093,224.773,139.636,855.204,175.516,12.92,81.0089,449.373,48.8089,277.982,89.2444,1312.89,167.379,3.68,1332.4,171.2,39.9378,171.2,21.7067,66.92,33.6,26.1644,17.6756,10.2756,9.46222,3.05333,24.6089,18.5956,8.37778,0.533341,101100,Cambisols
10,Symphyotrichum_falcatum,76.2529,36.4778,36.4778,9112.46,290.854,-123.094,413.947,165.898,-9.8548,193.211,-41.2354,444.249,74.329,12.959,53.3817,193.153,46.8466,170.536,59.5609,1314.55,160.276,1.45785,1424.36,134.728,24.5358,134.728,29.6377,71.4209,39.4701,35.9308,7.59906,13.8806,0.131148,0.416862,11.1101,8.79157,32.1429,0.432749,111000,Luvisols
11,Symphyotrichum_fendleri,116.462,36.6509,36.6509,9051.61,325.83,-87.3774,413.208,208.67,-0.0849057,233.387,-0.320755,519.547,84.1509,11.6226,55.6415,226.34,41.9434,207.717,41.9623,979.038,158.292,0.820755,1486.17,108.951,24.2358,108.951,21.0755,73.1038,37.0943,37.9057,4.49057,2.74528,0,0,8.72642,7.41509,51.3962,0.419581,110000,Luvisols
12,Symphyotrichum_fontinale,203.091,46.4545,46.4545,3780.82,298.091,88.3636,209.727,246.818,169.182,248,151.545,1220.18,211.091,38.8182,53.1818,555.636,136.091,525.909,160.273,5.72727,139.667,0,1192,833.3,8.90909,833.3,125.727,57.3636,59.7273,22.2727,1.36364,10.7273,12.9091,4.45455,15,0,9.09091,0.806568,100000,Luvisols
13,Symphyotrichum_frondosum,91.1837,41.8163,41.8163,7550.46,300.599,-78.585,379.184,72,132.707,190.517,-2.98639,352.653,54.9524,9.55102,43.9592,147.599,38.4218,59.8639,124.075,1525.44,173.5,1.75342,1383.25,108.841,19.7603,108.841,28.0822,73.8767,47.2123,32.4178,13.0137,11.7211,0.319728,0,7.28571,33.7755,19.3401,0.322868,10000,Luvisols
14,Symphyotrichum_georgianum,150.226,37.6452,37.6452,7167.26,307.839,-12.871,320.71,139.258,146.323,240.419,55.3548,1236.03,133.806,79.1613,14.3871,362.935,258.226,316.871,326.419,203.097,147.29,0.741935,1462.32,71.5385,21.6129,71.5385,22.1613,51.0323,39.6452,35.4194,4.96774,20.8065,0.0967742,15.5484,31.7742,0,1.54839,0.960546,100000,Ferralsols
15,Symphyotrichum_grandiflorum,147.492,37.4746,37.4746,7449.47,310.644,-20.5593,331.203,240.678,100.797,241.22,48.5424,1144.49,119.593,77.2203,13.2881,334.542,246.441,334.373,272.915,134.898,173.643,0.40678,1504.25,66.4259,19.8136,66.4259,21.0169,49.9322,41.7627,36.7458,4.35593,15.2712,0,16.3729,37.7966,0,2.55932,0.910025,100000,Chernozems
16,Symphyotrichum_hintonii,112.667,47,47,608.667,171.667,59.6667,112,112,114.667,121.333,105.333,1036.33,227.333,6,68.6667,640.333,24.3333,135,33.6667,1550.67,124,4.66667,784,251,27.6667,251,29.6667,38,22,17.3333,15.6667,11.3333,1,0,35.6667,0,11,0.720067,1000,Cambisols
17,Symphyotrichum_moranense,154.616,67.3151,67.3151,1837.43,261.555,42.1849,219.37,165.616,139.192,175.795,128.904,952.849,195.76,9.34932,89,534.979,36.1644,274.37,47.863,2266.59,183.932,4.80137,1212.47,215.069,42.8425,215.069,17.5342,61.7397,30.589,25.9589,18.137,12.0548,2.08219,2.43836,39.6438,8.87671,9.29452,0.61431,1000,Acrisols
18,Symphyotrichum_novae-angliae,83.8559,28.0925,28.0925,9644.7,277.064,-107.231,384.295,167.267,-25.2461,203.55,-45.3933,935.176,100.676,52.5233,20.2951,284.965,175.383,271.824,186.157,224.306,174.163,0.617573,1389.43,251.624,19.5467,251.624,56.1455,60.3661,40.0557,40.4727,5.03842,4.35953,0.228549,15.9725,10.0364,0.299608,6.47027,1.03893,100000,Luvisols
