species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,claypercent,nitrogen,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous
Symphyotrichum_adnatum,203.515,117,44.8788,5312.44,324.909,64.8364,260.073,241.115,176.921,267.782,132.358,1482.42,193.873,65.7091,34.2121,521.636,242.285,499.103,306.939,31.8121,194.15,0.0869565,1446.55,12.9879,487.712,76.3091,54.4424,56.097,30.3515,2.36364,27.5301,7.48193,4.21687,29.0542,0.204819,4.34337
Symphyotrichum_amethystinum,75.6129,102.892,26.6452,9588.4,266.548,-109.699,376.247,149.978,-36.9462,194.785,-52.1398,878.968,90.5484,53.1828,16.8495,257.301,174.731,247.441,185.29,214.075,154.988,0.569892,1343.8,17.7391,228.043,52.5326,61.6739,45.2609,35.913,4.6413,2.88172,0.172043,11.4086,9.09677,0.150538,9.29032
Symphyotrichum_anomalum,134.647,127.12,33.1957,8728.27,319.375,-56.9185,376.293,167.668,60.9293,243.109,16.6359,1124.81,125.924,56.9891,21.6576,349.299,206.81,285.386,211.223,255.571,187.317,1.16304,1475.72,20.5519,109.838,22.7322,56.1858,22.6339,56.3607,8.21858,3.65217,0.00543478,43.0054,15.3315,0.0706522,4.54348
Symphyotrichum_anticostense,37.5,102.781,24.8125,9895.06,232.125,-161.562,393.688,111.344,-32.2812,160.562,-95.625,954.281,98.25,61.3438,13.7812,274.562,195.312,266.781,230.125,60.375,180.903,0.967742,1016.3,15.4242,231.667,78.3636,51.7879,44.8788,36.697,12.303,10.1818,0,8.48485,32.5455,0.484848,5.09091
Symphyotrichum_ascendens,53.7231,157.505,39.7822,8038.05,267.399,-124.482,391.881,75.7572,47.6391,158.636,-47.2756,448.676,62.4226,18.9304,35.5919,167.319,66.9987,113.051,114.772,2023.13,172.189,3.08793,1346.43,20.7276,154.113,33.7276,68.8382,43.3921,35.8079,15.4711,23.0984,0.137795,1.48556,12.2178,14.6037,30.0617
Symphyotrichum_bahamense,221.3,92.8,53.5,2263.5,295.2,137.9,157.3,243.8,192.5,247.5,189.6,1091,170.2,27.2,51.9,451.8,104.3,414.3,110,25.6,117.556,0.1,1141.2,28.3,396.667,75.5,57.6,40.1,21.4,4.6,3.9,23.4,4.2,20.6,0,7.4
Symphyotrichum_batesii,50,69,16,5055,156.5,-56.5,213,102.5,-16,114.5,-16,320.5,52.5,5.5,30,145.5,21,132,21,329,31,0,751,11.5,0,13.5,34.5,17,22,0,0,0,0,0.5,0,5.5
Symphyotrichum_boreale,42.3484,117.842,27.0475,10798.3,255.667,-175.839,431.507,143.785,-74.9819,174.792,-103.165,694.213,92.6425,28.052,39.5407,257.516,96.9683,241.253,111.943,497.572,178.466,0.74478,1250.67,17.5932,295.088,93.2568,60.1977,48.85,33.3591,6.58636,16.5586,0.128378,7.00225,21.8423,2.0473,7.86712
Symphyotrichum_bracei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphyotrichum_bracteolatum,64.197,142.576,41.9394,6625.58,255.606,-79.1061,334.712,16.8485,125.167,151.485,-16.0909,730.015,115.818,15,50.6061,325.091,60.9242,75.8333,301.924,1489.86,166.742,4.92424,1157.95,15.5455,185.767,46.3485,60.6364,48.8939,34.1061,20.5152,55.0303,0,0.227273,15.5606,7.40909,13.1061
Symphyotrichum_bullatum,199.673,116.8,66.0909,1561.64,284.273,112.273,172,209.418,187.382,216.218,177,1552.22,285.618,30,74.5091,736.164,102.273,442.582,135.745,1151.56,127.926,4.52727,1214.96,38.8519,190.878,32.8519,57.537,33.9815,25.3333,14.4444,4.10909,23.8545,1.25455,19.5818,0.909091,6.54545
Symphyotrichum_burgessii,192.4,80.6,50.4,1727.4,252.8,125.6,127.2,211.2,168.2,211.8,168.2,1250.8,189.8,39.6,41.8,496,140.8,475.8,140.8,126.2,110.8,2.8,1030.4,30,147.8,33.4,50.6,28.6,21.4,8.2,9.6,40.6,3,23.6,0,0
Symphyotrichum_campestre,37.8931,144.771,38.0229,7787.9,244.878,-128.45,373.328,29.6565,42.4656,138.924,-60.0763,488.427,62.7939,23.3664,30.5038,170.336,81.5267,114.389,139.275,1821.44,181.155,3.54962,1239.4,17.7176,168.983,40.2366,64.0763,44.8855,36.6565,17.4198,37.5115,0,0.916031,13.4198,8.79389,21.8779
Symphyotrichum_carnerosanum,142.72,135.92,58.84,2869.88,249.92,28.32,221.6,166.28,110.76,175.08,102.56,563.28,100.92,15.88,57.96,254.28,56.16,206.28,60.96,2048.96,114.76,10.48,1232.84,35.88,159.24,28.88,68.52,32.6,27.64,18.28,14.36,0.4,2.32,48.08,11.88,8.16
Symphyotrichum_chapmanii,188.609,117.435,41.6957,5668.74,312.087,45.5652,266.522,255.565,156.478,257.087,113,1461.96,193.522,78,28.5652,526.304,265.348,514.217,324.826,12,177.478,0,1437.48,6.30435,417.565,59.2174,46.8696,70.2174,19.1304,0.695652,35.4348,5.26087,0.826087,29.087,0,0.521739
Symphyotrichum_chilense,129.068,109.809,51.6806,3705.05,246.251,32.8168,213.435,86.0105,172.076,176.673,83.4215,863.065,164.136,6.27749,81.8168,438.33,28.9634,36.8953,427.147,246.325,185.578,2.54627,1331.56,23.3003,174.754,54.5191,60.7532,43.8066,32.7888,10.5929,28.4289,0.713198,4.6269,27.9848,3.34264,3.86294
Symphyotrichum_ciliatum,54.9496,125.928,29.1259,10364.9,270.14,-155.932,426.072,157.64,-56.6187,183.888,-82.9101,552.324,75.6259,23.6583,40.9856,205.219,80.8417,193.903,87.7842,675.137,171.258,0.688406,1330.09,22.0509,206.82,55.44,67.8327,41.8327,35.8,5.61455,6.36559,0.0967742,3.22939,9.43369,4.30824,18.9857
Symphyotrichum_ciliolatum,33.5155,115.585,26.4117,10830,245.506,-186.727,432.233,135.698,-79.3234,165.918,-112.625,718.019,92.4658,32.2539,35.979,257.502,110.884,245.146,123.344,475.642,172.011,1.03215,1163.51,16.6974,243,82.7909,57.2036,49.1068,34.1713,8.4238,17.6152,0.0716648,9.57442,30.6582,1.33297,4.0849
Symphyotrichum_concolor,177.262,123.348,41.3907,6418.73,319.982,22.4695,297.513,202.545,155.065,256.419,91.7527,1333.86,162.434,69.2796,25.9319,445.19,242.032,418.505,308.244,86.2186,179.446,0.287273,1489.75,13.8821,311.254,46.8893,52.075,58.1286,27.6429,3.025,22.1286,2.82857,9.75,31.7643,0.367857,4.16071
