Barcode,species,Collector,Collector number,phyllary_length,phyllary_width,primary_axis_leaf_length,primary_axis_leaf_width,secondary_axis_leaf_length,secondary_axis_leaf_width,bract_length,bract_width,auricle_length,primary_axis_hair_length,below_capitulum_hair_length,ray_length,ray_width
MISSA030990,Symphyotrichum adnatum,Majure,3619,5.43,0.86,10.56,1.77,4.92,1.61,2.41,1.05,0,0.41,0,9.11,1.63
MISSA030990,Symphyotrichum adnatum,Majure,3619,5.19,1.1,11.8,2.48,5.73,1.68,1.96,0.54,0,0.64,0,10.43,2.1
MISSA030990,Symphyotrichum adnatum,Majure,3619,4.91,1.13,9.28,2.03,4.89,1.79,2.91,1.24,0,0.31,0,9.95,1.17
MISSA005835,Symphyotrichum adnatum,Fishbein ,4940,3.15,0.75,12.17,2.77,8.5,2.25,2.19,0.96,0,0.32,0.21,12,1.64
MISSA005835,Symphyotrichum adnatum,Fishbein ,4940,2.18,1.05,9.48,2.35,8.35,2.4,2.21,0.84,0,0.29,0.26,10.77,1.96
MISSA005835,Symphyotrichum adnatum,Fishbein ,4940,2.4,1.38,10.75,2.38,6.55,1.99,2.71,0.85,0,0.32,0.16,11.7,1.18
67986,Symphyotrichum bimater,Breedlove,10549,5.98,1.03,15.69,2.89,7.56,1.31,4.35,1.06,0,0.38,0.26,11.68,0.91
67986,Symphyotrichum bimater,Breedlove,10549,5.08,0.84,15.47,2.75,6.53,1.38,4.3,0.72,0,0.52,0.14,12.43,0.7
67986,Symphyotrichum bimater,Breedlove,10549,6.07,0.7,n/a,2.47,7.23,1.32,4.07,0.97,0,0.31,0.18,11.28,0.85
67994,Symphyotrichum bimater,Salomón,3599,6.19,0.77,n/a,n/a,7.71,1.91,3.97,0.92,0,0.3,0.3,11.92,2.2
67994,Symphyotrichum bimater,Salomón,3599,6.59,0.81,n/a,n/a,5.63,1.21,2.81,0.89,0,0.51,0.26,9.18,1.19
67994,Symphyotrichum bimater,Salomón,3599,6.19,1.08,n/a,n/a,6.4,1.25,2.63,0.65,0,0.36,0.16,12.9,1.65
67996,Symphyotrichum bimater,Salomón,1838,7.56,1.09,21.1,3.06,8.7,1.04,3.35,0.96,0,0.36,0.17,11.95,2.25
67996,Symphyotrichum bimater,Salomón,1838,5.99,1.11,34.74,2.73,6.92,0.97,4.37,0.82,0,0.35,0.2,10.15,1.12
67996,Symphyotrichum bimater,Salomón,1838,6.24,0.83,14.79,1.55,8.85,1.62,3.38,0.68,0,0.59,0.19,13.26,1.71
67977,Symphyotrichum bimater,Cruz,660,5.68,1.02,25.13,3.07,7.22,1.41,4.69,0.88,0,0.48,0.15,11.36,1.12
67977,Symphyotrichum bimater,Cruz,660,7.14,1.4,23.02,3.44,8.95,2.02,3.72,0.93,0,0.63,0.12,11.04,1.45
67977,Symphyotrichum bimater,Cruz,660,6.37,1.08,15.77,3.12,8.66,1.48,3.79,0.76,0,0.62,0.21,,
67984,Symphyotrichum bimater,Breedlove,41867,6.37,0.98,26.14,3.34,12.38,1.81,4.53,0.91,0,0.43,0.33,11,1.25
67984,Symphyotrichum bimater,Breedlove,41867,6.25,0.82,31.61,3.43,9.8,1.68,5.41,1.25,0,0.41,0.2,10.78,2.43
67984,Symphyotrichum bimater,Breedlove,41867,5.39,0.94,32.9,4.45,11.27,2.07,5.73,0.87,0,0.53,0.25,,
