Symphyotrichum adnatum,0
Symphyotrichum amethystinum,3
Symphyotrichum anomalum,0
Symphyotrichum anticostense,2
Symphyotrichum ascendens,0
Symphyotrichum bahamense,4
Symphyotrichum boreale,0
Symphyotrichum bracteolatum,3
Symphyotrichum bullatum,2
Symphyotrichum burgessii,2
Symphyotrichum campestre,5
Symphyotrichum carnerosanum,3
Symphyotrichum chapmanii,3
Symphyotrichum chilense,1
Symphyotrichum ciliatum,4
Symphyotrichum ciliolatum,2
Symphyotrichum concolor,3
Symphyotrichum cordifolium,1
Symphyotrichum defoliatum,2
Symphyotrichum depauperatum,3
Symphyotrichum divaricatum,0
Symphyotrichum drummondii,1
Symphyotrichum dumosum,3
Symphyotrichum eatonii,2
Symphyotrichum elliottii,4
Symphyotrichum ericoides,0
Symphyotrichum eulae,2
Symphyotrichum expansum,0
Symphyotrichum falcatum,4
Symphyotrichum fendleri,3
Symphyotrichum firmum,3
Symphyotrichum foliaceum,4
Symphyotrichum fontinale,1
Symphyotrichum frondosum,3
Symphyotrichum georgianum,2
Symphyotrichum glabrifolium,3
Symphyotrichum graminifolium,5
Symphyotrichum grandiflorum,0
Symphyotrichum greatae,0
Symphyotrichum hallii,3
Symphyotrichum hendersonii,3
Symphyotrichum hintonii,1
Symphyotrichum jessicae,1
Symphyotrichum kentuckiense,0
Symphyotrichum laeve,4
Symphyotrichum lanceolatum,5
Symphyotrichum lateriflorum,2
Symphyotrichum laurentianum,3
Symphyotrichum lentum,0
Symphyotrichum longulum,4
Symphyotrichum lucayanum,5
Symphyotrichum molle,2
Symphyotrichum moranense,3
Symphyotrichum nahanniense,4
Symphyotrichum novae-angliae,1
Symphyotrichum novi-belgii,0
Symphyotrichum oblongifolium,3
Symphyotrichum ontarionis,3
Symphyotrichum oolentangiense,1
Symphyotrichum parviceps,4
Symphyotrichum patens,1
Symphyotrichum phlogifolium,1
Symphyotrichum pilosum,4
Symphyotrichum plumosum,2
Symphyotrichum porteri,1
Symphyotrichum potosinum,5
Symphyotrichum praealtum,0
Symphyotrichum pratense,1
Symphyotrichum prenanthoides,2
Symphyotrichum priceae,4
Symphyotrichum puniceum,0
Symphyotrichum pygmaeum,0
Symphyotrichum racemosum,1
Symphyotrichum regnellii,3
Symphyotrichum retroflexum,0
Symphyotrichum rhiannon,5
Symphyotrichum robynsianum,2
Symphyotrichum schaffneri,0
Symphyotrichum schistosum,1
Symphyotrichum sericeum,0
Symphyotrichum shortii,0
Symphyotrichum simmondsii,1
Symphyotrichum spathulatum,5
Symphyotrichum squamatum,1
Symphyotrichum subspicatum,5
Symphyotrichum subulatum,0
Symphyotrichum tardiflorum,4
Symphyotrichum tenuifolium,3
Symphyotrichum tradescanti,3
Symphyotrichum trilineatum,4
Symphyotrichum turbinellum,3
Symphyotrichum turneri,0
Symphyotrichum urophyllum,5
Symphyotrichum vahlii,5
Symphyotrichum walteri,2
Symphyotrichum welshii,0
Symphyotrichum yukonense,2
